,city,v_w,t2m,blh,sp,tcc,tp,inversion_0/1,PM10,PM25,NO2,CO,month,year,day,hour,day_of_week
122,LD,7.285332139995894,275.9441,1202.9939,99021.31,0.54385376,1.5258789e-05,1,5.0,4.455,9.8,0.28,January,2023,31,12:00:00,Tuesday
123,LD,5.527377277731569,274.60742,704.5476,98708.06,1.0,0.00037956238,1,10.0,9.4446,18.1,0.333,January,2023,31,18:00:00,Tuesday
124,LD,9.305331850612689,275.79956,1159.6011,98321.94,0.76849365,0.00024700165,1,8.0,6.4152,7.5,0.313,February,2023,1,00:00:00,Wednesday
125,LD,8.141872917382893,275.49536,1193.404,98380.0,0.8642273,7.8201294e-05,1,2.0,1.5147,4.6,0.273,February,2023,1,06:00:00,Wednesday
126,LD,7.648389202443657,277.44678,1165.4458,98308.44,0.9279785,5.9604645e-05,1,4.0,3.4749,8.5,0.311,February,2023,1,12:00:00,Wednesday
127,LD,6.1585882727067895,275.9331,989.0945,98332.125,0.99243164,4.2915344e-05,1,5.0,4.455,12.0,0.336,February,2023,1,18:00:00,Wednesday
128,LD,5.951970571654671,274.9458,787.91016,98241.0,1.0,0.00022363663,1,5.0,4.455,5.7,0.321,February,2023,2,00:00:00,Thursday
129,LD,6.766219710302201,275.56006,950.7788,98104.44,1.0,0.0002155304,1,2.0,1.5147,4.8,0.285,February,2023,2,06:00:00,Thursday
130,LD,7.411587020811789,275.3584,876.7295,98559.94,0.98999023,0.0007343292,1,3.0,2.4948,9.8,0.325,February,2023,2,12:00:00,Thursday
131,LD,5.820456875409875,274.0735,672.36523,99316.56,0.4866333,1.6212463e-05,1,4.0,3.4749,10.9,0.383,February,2023,2,18:00:00,Thursday
132,LD,4.751957480899988,272.34375,576.7344,99843.94,0.83166504,2.0503998e-05,1,4.0,3.4749,3.9,0.292,February,2023,3,00:00:00,Friday
133,LD,2.9697189399578,271.22388,284.0088,99610.625,1.0,2.861023e-06,1,5.0,4.455,10.3,0.31,February,2023,3,06:00:00,Friday
134,LD,6.088107295815021,272.87134,605.86865,98655.375,1.0,0.0010519028,1,8.0,6.4152,12.7,0.408,February,2023,3,12:00:00,Friday
135,LD,7.633564857717325,276.22803,966.3965,98254.5,0.99798584,0.00024986267,1,9.0,7.3953,22.4,0.46,February,2023,3,18:00:00,Friday
136,LD,4.635547879664043,274.45532,492.00342,98466.94,1.0,0.0007662773,1,4.0,3.4749,13.0,0.343,February,2023,4,00:00:00,Saturday
137,LD,6.644967543606372,270.6233,685.8345,99952.31,0.45483398,2.861023e-06,1,7.0,6.4152,3.3,0.297,February,2023,4,06:00:00,Saturday
138,LD,5.725420996265082,271.89526,1533.4954,100580.56,0.40618896,8.678436e-05,1,4.0,3.4749,4.6,0.358,February,2023,4,12:00:00,Saturday
139,LD,5.522357593905038,270.27148,708.12744,100856.375,0.42773438,2.7179718e-05,1,4.0,3.4749,4.7,0.376,February,2023,4,18:00:00,Saturday
140,LD,3.119800658170892,267.6023,256.74976,101148.44,0.0079956055,0.0,1,8.0,7.3953,4.4,0.369,February,2023,5,00:00:00,Sunday
141,LD,2.3627716184758545,265.52197,176.69217,101301.94,0.62216187,4.7683716e-07,1,9.0,7.3953,6.6,0.357,February,2023,5,06:00:00,Sunday
142,LD,3.527525372141074,270.63135,988.7461,101393.31,0.755249,6.198883e-06,1,6.0,5.4351,3.1,0.378,February,2023,5,12:00:00,Sunday
143,LD,1.8440450785944644,268.37476,233.68509,101480.5,0.34292603,1.4305115e-06,1,16.0,14.3451,18.3,0.433,February,2023,5,18:00:00,Sunday
144,LD,0.7795924877271897,267.82422,72.94968,101615.56,1.0,0.0,1,22.0,19.3347,15.5,0.559,February,2023,6,00:00:00,Monday
145,LD,1.3524885191788072,267.53662,157.33568,101547.75,1.0,9.536743e-07,1,14.0,12.3849,14.8,0.427,February,2023,6,06:00:00,Monday
146,LD,1.9533822027593934,272.68335,774.4048,101608.31,0.8036804,2.002716e-05,1,17.0,15.4143,10.7,0.514,February,2023,6,12:00:00,Monday
147,LD,2.222741963283289,267.9043,51.08522,101704.5,0.63726807,0.0,1,15.0,13.365,46.5,0.91,February,2023,6,18:00:00,Monday
148,LD,2.4022424650589183,265.86475,135.52298,101765.81,0.49868774,4.7683716e-07,1,37.0,33.2343,49.5,1.322,February,2023,7,00:00:00,Tuesday
149,LD,2.426813450465167,268.6411,272.41357,101722.81,0.75512695,1.4305115e-05,1,23.0,20.3148,19.4,0.668,February,2023,7,06:00:00,Tuesday
150,LD,2.8122555439993087,271.92896,541.6455,101734.31,0.9379883,9.536743e-07,1,25.0,22.3641,23.2,0.565,February,2023,7,12:00:00,Tuesday
151,LD,1.927123170177895,271.09448,181.48816,101854.69,0.7814026,1.4305115e-06,1,24.0,21.384,19.0,0.666,February,2023,7,18:00:00,Tuesday
152,LD,1.6972427379842676,271.05005,117.25731,101998.94,0.88061523,5.2452087e-06,1,15.0,13.365,9.7,0.403,February,2023,8,00:00:00,Wednesday
153,LD,1.323817083110397,270.95825,154.3564,102121.44,0.9812927,2.9087067e-05,1,17.0,15.4143,15.2,0.522,February,2023,8,06:00:00,Wednesday
154,LD,3.2251356159642506,273.90894,940.1504,102162.81,0.96432495,3.33786e-06,1,13.0,11.4048,11.5,0.462,February,2023,8,12:00:00,Wednesday
155,LD,2.7697679925237315,271.3098,209.25224,102037.94,0.7175293,9.536743e-07,1,13.0,11.4048,48.9,0.982,February,2023,8,18:00:00,Wednesday
