Year;$ money of the day;$ 2021;Column 6;Column 7;Column 8;Column 9;Column 10;Column 11;Column 12
1990;23.7258203125;46.981662439926836;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1992;19.3208365758755;35.6410907700564;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1995;17.0166796875;28.898319465889514;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1998;12.7156614785992;20.18989609164256;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2001;24.4438910505837;35.721896593408346;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2005;54.5210894941634;72.25119146479223;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2006;65.1440625;83.63095218098958;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2007;72.3890784313725;90.35839230788719;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2008;97.255972762646;116.9092653919043;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2011;111.255597609562;128.00880448889853;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2013;108.658517786561;120.71764165428658;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1861;0.49;14.057327229329996;;;;;;;
1863;3.15;65.94460457002295;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1864;8.06;132.83350202547953;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1866;3.74;65.83993059451498;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1875;1.35;31.687667131049984;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1878;1.19;31.784794080110668;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1888;0.88;25.245812166959986;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1892;0.56;16.065516833519993;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1893;0.64;18.360590666879993;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1898;0.91;28.194982042827586;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1899;1.29;39.96871080796438;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1901;0.96;29.744156880345585;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1908;0.72;20.65566450023999;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1909;0.7;20.081896041899988;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1917;1.56;31.4638603188;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1929;1.27;19.172485950099997;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1930;1.19;18.4359874874;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1934;1.0;19.317653039999996;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1941;1.14;20.027623375199997;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1942;1.19;18.885645718799992;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1945;1.05;15.087646055999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1947;1.9;22.000487866;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1948;1.99;21.379056773899993;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1960;1.9;16.586420557;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1970;1.8;11.991231251999997;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1972;2.48;15.3466641048;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1981;35.93;102.300101540154;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1997;19.0925875486381;30.78736246760483;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2002;25.0232558139535;35.999410008144075;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2010;79.495533596838;94.3533704448914;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2016;43.7341699604743;47.16064223810269;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021;70.9118972332016;70.9118972332016;0.0;0.0;0.0;0.0;0.0;0.0;0.0
